k,naive,smart,smart_scaled,smart_scaled_no_demo
1,0.271,0.302,0.24,0.262
3,0.237,0.273,0.2279999999999999,0.22999999999999998
5,0.2319999999999999,0.269,0.2069999999999999,0.22899999999999998
7,0.2269999999999999,0.257,0.1999999999999999,0.22199999999999998
9,0.2299999999999999,0.255,0.2089999999999999,0.21599999999999997
11,0.2239999999999999,0.25,0.2199999999999999,0.21799999999999997
13,0.2169999999999999,0.252,0.2059999999999999,0.21099999999999997
15,0.2099999999999999,0.261,0.1999999999999999,0.21799999999999997
17,0.2079999999999999,0.265,0.2069999999999999,0.21399999999999997
19,0.2109999999999999,0.26,0.2119999999999999,0.21499999999999997
21,0.2099999999999999,0.246,0.2069999999999999,0.20799999999999996
23,0.2049999999999999,0.255,0.2059999999999999,0.21299999999999997
25,0.1959999999999999,0.252,0.2079999999999999,0.20599999999999996
27,0.2019999999999999,0.267,0.1989999999999999,0.19699999999999995
29,0.1969999999999999,0.263,0.2019999999999999,0.19899999999999995
31,0.1929999999999999,0.252,0.1979999999999999,0.19399999999999995
33,0.1949999999999999,0.257,0.1979999999999999,0.19699999999999995
35,0.1949999999999999,0.258,0.1999999999999999,0.19799999999999995
37,0.2019999999999999,0.254,0.2029999999999999,0.19899999999999995
39,0.1959999999999999,0.253,0.1989999999999999,0.19099999999999995
41,0.2079999999999999,0.255,0.2059999999999999,0.19899999999999995
43,0.1989999999999999,0.249,0.2079999999999999,0.19799999999999995
45,0.1969999999999999,0.249,0.2099999999999999,0.19899999999999995
47,0.1969999999999999,0.246,0.2059999999999999,0.19099999999999995
49,0.1919999999999999,0.246,0.2069999999999999,0.18799999999999994
51,0.1989999999999999,0.243,0.2059999999999999,0.18899999999999995
53,0.1949999999999999,0.238,0.2089999999999999,0.18700000000000006
55,0.1949999999999999,0.239,0.2089999999999999,0.19099999999999995
57,0.1989999999999999,0.244,0.2039999999999999,0.18899999999999995
59,0.1989999999999999,0.249,0.2029999999999999,0.19199999999999995
61,0.1939999999999999,0.244,0.2039999999999999,0.19499999999999995
63,0.1949999999999999,0.25,0.2059999999999999,0.19299999999999995
65,0.1929999999999999,0.242,0.2039999999999999,0.18700000000000006
67,0.1929999999999999,0.246,0.2029999999999999,0.18500000000000005
69,0.1979999999999999,0.242,0.2009999999999999,0.18500000000000005
71,0.1999999999999999,0.244,0.2019999999999999,0.18999999999999995
73,0.2009999999999999,0.242,0.2009999999999999,0.18600000000000005
75,0.1979999999999999,0.249,0.1989999999999999,0.18500000000000005
77,0.1969999999999999,0.243,0.2039999999999999,0.18799999999999994
79,0.1979999999999999,0.248,0.2019999999999999,0.18700000000000006
81,0.2019999999999999,0.249,0.2009999999999999,0.18700000000000006
83,0.1999999999999999,0.25,0.2029999999999999,0.19199999999999995
85,0.1969999999999999,0.242,0.1989999999999999,0.18500000000000005
87,0.1999999999999999,0.247,0.1989999999999999,0.18500000000000005
89,0.2019999999999999,0.247,0.2019999999999999,0.18600000000000005
91,0.2009999999999999,0.248,0.1999999999999999,0.18600000000000005
93,0.2039999999999999,0.251,0.1979999999999999,0.18600000000000005
95,0.2009999999999999,0.249,0.1989999999999999,0.19099999999999995
97,0.2019999999999999,0.252,0.1989999999999999,0.18799999999999994
99,0.2019999999999999,0.25,0.2019999999999999,0.18799999999999994
